Date,Capital Gains
1989-12-22,2.100000
1990-09-27,0.040000
1992-12-18,2.190000
1993-09-22,1.060000
1993-12-29,2.160000
1994-09-21,0.150000
1994-12-29,0.670000
1995-12-28,0.150000
1996-03-21,0.300000
1996-12-02,1.000000
1997-03-21,0.340000
1997-12-01,1.685000
1998-03-23,0.120000
1998-12-01,0.140000
1999-03-22,0.180000
1999-12-01,1.260000
2000-03-21,0.045000
2000-11-30,3.420000
2001-03-21,0.240000
2012-12-18,2.255000
2013-07-01,2.600000
2013-12-19,1.891000
2014-07-01,4.000000
2014-12-11,5.710000
2015-07-01,4.400000
2015-12-10,3.120000
2016-07-01,3.500000
2016-12-13,1.585000
2017-06-28,1.100000
2017-12-13,1.590000
2018-06-27,2.350000
2018-12-12,2.900000
2019-06-26,1.000000
2019-12-12,0.470000
2020-12-10,0.969000
2021-06-23,2.760000
2021-12-09,2.480000

